protein_id	ensg	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	cartilage	caudate	cerebellum	cerebral cortex	cervix	choroid plexus	colon	dorsal raphe	duodenum	endometrium	endometrium 1	endometrium 2	epididymis	esophagus	eye	fallopian tube	gallbladder	hair	heart muscle	hippocampus	hypothalamus	kidney	lactating breast	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	pituitary gland	placenta	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	sole of foot	spleen	stomach 1	stomach 2	testis	thymus	thyroid gland	tonsil	urinary bladder	vagina
ENSP00000001008	ENSG00000004478	0	2	3	2	3	2	0	2	2	3	3	0	2	0	3	0	3	3	3	3	0	3	2	0	0	2	0	2	0	1	1	1	2	3	2	3	1	0	3	3	3	0	3	3	0	2	3	3	3	0	0	0	0	3	3	3	0	3	2	3	3
ENSP00000002165	ENSG00000001036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSP00000003084	ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000005257	ENSG00000006451	1	2	2	1	2	2	0	1	2	2	1	0	2	0	2	0	1	1	2	1	0	2	2	0	2	2	0	2	0	1	1	1	2	2	2	2	2	0	2	2	2	0	2	1	1	2	1	2	2	1	1	0	1	2	2	2	0	1	1	2	0
ENSP00000005558	ENSG00000006652	0	2	2	1	2	2	0	1	2	3	2	0	2	0	2	0	2	2	2	1	0	2	2	0	1	2	0	2	0	2	1	2	2	2	2	2	2	0	2	2	2	0	1	2	1	1	1	2	2	2	1	0	1	2	2	2	0	2	2	2	1
ENSP00000006015	ENSG00000005073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
ENSP00000007722	ENSG00000005884	0	2	3	0	3	2	0	0	2	1	3	0	3	0	3	0	1	2	2	3	0	3	3	0	2	0	0	3	0	2	3	0	3	3	1	1	2	0	2	3	3	0	1	3	1	3	3	3	2	0	0	0	0	3	3	2	0	2	3	3	1
ENSP00000011292	ENSG00000091704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000023064	ENSG00000021488	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000023897	ENSG00000022355	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
